osm_id,highway,cyclable_status,name,bicycle,cycleway,access,oneway,surface,lit,maxspeed
1042216578,cycleway,legal,,,,,,asphalt,yes,
1063307931,track,legal,,yes,,,,compacted,yes,
1089881531,cycleway,legal,,yes,,,yes,asphalt,,
1089881532,cycleway,legal,Rue du 8 Mai 1945,,,,yes,asphalt,,
1089881533,cycleway,legal,Rue du 8 Mai 1945,,,,no,asphalt,,
1148673329,tertiary,likely,Rue Anatole France,,,,yes,asphalt,yes,30
1157770119,tertiary,likely,Rue du 8 Mai 1945,,,,,asphalt,,30
1163373140,path,legal,,yes,,,,ground,,
1163373143,path,legal,,yes,,,,ground,,
1181702135,cycleway,legal,Chemin de Contre-Halage,,,,,asphalt,,
1181702136,cycleway,legal,Chemin de Contre-Halage,,,,,fine_gravel,,
1181702137,cycleway,legal,Chemin de Contre-Halage,,,,,fine_gravel,,
1181702138,cycleway,legal,Chemin de Contre-Halage,,,,,fine_gravel,,
1181702139,cycleway,legal,Porte de Croix-Luizet,,,,,asphalt,,
1191768306,path,legal,,yes,,,,fine_gravel,,
1191768307,path,legal,,yes,,,,fine_gravel,,
1202884294,path,legal,,designated,,,,fine_gravel,,
1207355975,cycleway,legal,,,,,,asphalt,,
1210255344,service,legal,,yes,,no,yes,,yes,50
1219405981,cycleway,legal,Rue du Canal,,,,,asphalt,,
1226924367,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1226924368,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,,30
1226924369,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1226926315,residential,likely,Rue Racine,,,,no,asphalt,yes,30
1226926316,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1232412428,tertiary,likely,,,,,,asphalt,,
1232412429,tertiary,likely,,,,,,asphalt,,
1232412430,tertiary,likely,,,,,,asphalt,,
1232412431,tertiary,likely,,,,,,asphalt,,
1232412432,unclassified,likely,Avenue Henri Barbusse,,,,,asphalt,,
1232412434,tertiary,likely,Avenue Georges Rougé,,,,yes,asphalt,,
1233586183,cycleway,legal,,,,,no,asphalt,yes,
1233586188,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,yes,50
1233586189,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,yes,50
1233586190,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,yes,50
1233586191,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,yes,50
1233586192,cycleway,legal,,,,,no,concrete,yes,
1233586200,cycleway,legal,,,,,yes,asphalt,,
1233586203,cycleway,legal,,,,,no,concrete,yes,
1233586206,cycleway,legal,,,,,no,,yes,
1233586208,tertiary,likely,Avenue Albert Einstein,,,,yes,asphalt,yes,50
1242059595,cycleway,legal,,designated,,,yes,asphalt,yes,
1242060374,cycleway,legal,,designated,,,,asphalt,,
1242060376,cycleway,legal,,,,,,asphalt,,
1265084039,path,legal,Boulevard Niels Bohr,designated,,,,asphalt,yes,
1265084040,cycleway,legal,,,,,no,,yes,
1265084041,cycleway,legal,,,,,no,,yes,
1281833374,cycleway,legal,,yes,,,,,,
1281833375,cycleway,legal,,yes,,,,,,
1284682650,path,legal,,designated,,,,fine_gravel,,
1284682651,path,legal,,designated,,,,fine_gravel,,
1284682653,cycleway,legal,Chemin de Contre-Halage,,,,,fine_gravel,,
1290622179,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,yes,50
1290634347,residential,likely,Rue Octavie,,,,yes,asphalt,yes,30
1293353036,cycleway,legal,Avenue d'Orcha,,,,yes,asphalt,,
1293353038,cycleway,legal,Avenue d'Orcha,,,,yes,asphalt,,
1293366819,cycleway,legal,Avenue Gaston Monmousseau,,,,yes,asphalt,,
1293375282,cycleway,legal,,,,,,asphalt,no,
1293807745,tertiary,legal,Rue Colin,yes,,,yes,asphalt,yes,30
1300250269,path,legal,,designated,,,,concrete,yes,
1301996708,cycleway,legal,,,,,,asphalt,,
1305919230,tertiary,likely,Rue Anatole France,,no,,yes,asphalt,yes,30
1313721822,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
1313817820,unclassified,likely,Rue Lançon,,,,yes,asphalt,yes,30
1315930603,path,legal,,designated,,,,asphalt,yes,
1315930612,cycleway,legal,,,,,yes,,,
1316660302,cycleway,legal,,,,,yes,asphalt,yes,
1316660303,cycleway,legal,,,link,,yes,,yes,
1316660304,cycleway,legal,,,link,,,asphalt,yes,
1316660305,cycleway,legal,,,,,yes,asphalt,no,
1317821169,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
1326470559,path,legal,,designated,,,,concrete,yes,
1326470560,path,legal,,yes,,,,compacted,yes,
1326470561,path,legal,,yes,,,,compacted,yes,
1354280962,secondary,likely,Avenue d'Orcha,,,,yes,,,50
1354280963,secondary,likely,Avenue d'Orcha,,,,yes,,,50
1354280964,secondary,likely,Avenue d'Orcha,,,,yes,,,50
1354280965,secondary,likely,Avenue d'Orcha,,,,yes,,,50
