code_commune,nom_commune,LIBDENS7,predicted_cluster,predicted_name,proba_cluster_0,proba_cluster_1,proba_cluster_2,proba_cluster_3,extrapolated
89234,Lucy-sur-Yonne,Rural à habitat dispersé,2,Tourisme rural,0.0056,0.0079,0.8566,0.1299,0
89235,Magny,Rural à habitat dispersé,2,Tourisme rural,0.0061,0.0138,0.9327,0.0473,1
89236,Maillot,Ceintures urbaines,2,Tourisme rural,0.2024,0.0331,0.3994,0.3652,1
89237,Mailly-la-Ville,Rural à habitat dispersé,2,Tourisme rural,0.005,0.005,0.8888,0.1012,1
89238,Mailly-le-Château,Rural à habitat dispersé,2,Tourisme rural,0.0098,0.0063,0.8213,0.1627,1
89239,Malay-le-Grand,Bourgs ruraux,2,Tourisme rural,0.0237,0.0199,0.7479,0.2085,1
89240,Malay-le-Petit,Rural à habitat dispersé,2,Tourisme rural,0.0152,0.0126,0.7558,0.2164,1
89242,Maligny,Bourgs ruraux,2,Tourisme rural,0.0204,0.0169,0.6306,0.332,1
89244,Marmeaux,Rural à habitat dispersé,2,Tourisme rural,0.0194,0.0103,0.6774,0.2929,1
89245,Marsangy,Rural à habitat dispersé,2,Tourisme rural,0.0267,0.0151,0.5997,0.3584,1
89246,Massangis,Rural à habitat dispersé,2,Tourisme rural,0.0137,0.0084,0.6777,0.3002,1
89247,Mélisey,Rural à habitat dispersé,2,Tourisme rural,0.0191,0.0101,0.6819,0.2889,1
89248,Menades,Rural à habitat dispersé,2,Tourisme rural,0.0088,0.0062,0.821,0.1639,1
89249,Mercy,Rural à habitat dispersé,2,Tourisme rural,0.0282,0.0219,0.5756,0.3743,1
89250,Méré,Rural à habitat dispersé,2,Tourisme rural,0.0164,0.0117,0.6707,0.3012,1
89251,Merry-la-Vallée,Rural à habitat dispersé,2,Tourisme rural,0.02,0.0101,0.6307,0.3392,1
89252,Merry-Sec,Rural à habitat très dispersé,2,Tourisme rural,0.0262,0.0102,0.6304,0.3332,1
89253,Merry-sur-Yonne,Rural à habitat très dispersé,2,Tourisme rural,0.014,0.02,0.7751,0.1909,0
89254,Mézilles,Rural à habitat dispersé,2,Tourisme rural,0.0156,0.0115,0.6056,0.3673,1
89255,Michery,Bourgs ruraux,2,Tourisme rural,0.0372,0.0147,0.5545,0.3937,1
89256,Migé,Rural à habitat dispersé,2,Tourisme rural,0.0212,0.0101,0.6678,0.3009,1
89257,Migennes,Petites villes,2,Tourisme rural,0.1402,0.0372,0.4576,0.3651,1
89259,Môlay,Rural à habitat très dispersé,2,Tourisme rural,0.0212,0.0132,0.5706,0.395,1
89261,Molinons,Rural à habitat dispersé,2,Tourisme rural,0.0157,0.013,0.6422,0.3291,1
89262,Molosmes,Rural à habitat dispersé,2,Tourisme rural,0.0133,0.0062,0.7932,0.1874,1
89263,Monéteau,Bourgs ruraux,2,Tourisme rural,0.07,0.0229,0.5699,0.3372,0
89264,Montacher-Villegardin,Rural à habitat dispersé,2,Tourisme rural,0.0361,0.0294,0.4978,0.4366,1
89265,Montigny-la-Resle,Rural à habitat dispersé,2,Tourisme rural,0.0246,0.0179,0.5327,0.4247,1
89266,Montillot,Rural à habitat dispersé,2,Tourisme rural,0.0139,0.0065,0.7269,0.2527,1
89267,Montréal,Rural à habitat dispersé,2,Tourisme rural,0.0043,0.0127,0.9081,0.0748,1
89268,Mont-Saint-Sulpice,Bourgs ruraux,2,Tourisme rural,0.0279,0.0175,0.6278,0.3268,1
89270,Mouffy,Rural à habitat dispersé,2,Tourisme rural,0.022,0.0107,0.6561,0.3112,1
89271,Moulins-en-Tonnerrois,Rural à habitat dispersé,2,Tourisme rural,0.0169,0.0084,0.6956,0.2791,1
89272,Moulins-sur-Ouanne,Rural à habitat dispersé,2,Tourisme rural,0.0182,0.0132,0.6077,0.3609,1
89273,Moutiers-en-Puisaye,Rural à habitat très dispersé,2,Tourisme rural,0.0229,0.0113,0.6743,0.2915,1
89274,Nailly,Rural à habitat dispersé,2,Tourisme rural,0.027,0.0207,0.5574,0.3949,1
89276,Neuvy-Sautour,Rural à habitat dispersé,2,Tourisme rural,0.0242,0.0197,0.5074,0.4487,1
89277,Nitry,Rural à habitat dispersé,2,Tourisme rural,0.0202,0.0119,0.6253,0.3426,1
